Year,Année,ISO,Jurisdiction,Juridiction,Cause,Origine,Number,Data Qualifier,Nombre,Qualificatifs de données
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,353,a,353,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,4,a,4,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,50,a,50,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,67,a,67,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,8,a,8,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,139,a,139,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,4,a,4,a
1995,1995,ON,Ontario,Ontario,Human activity,Activités humaines,985,a,985,a
1995,1995,ON,Ontario,Ontario,Lightning,Foudre,1133,a,1133,a
1995,1995,ON,Ontario,Ontario,Unspecified,Indéterminée,32,a,32,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,14,a,14,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,15,a,15,a
1995,1995,QC,Quebec,Québec,Human activity,Activités humaines,672,a,672,a
1995,1995,QC,Quebec,Québec,Lightning,Foudre,593,a,593,a
1995,1995,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,295,a,295,a
1995,1995,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,355,a,355,a
1995,1995,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,1,a,1,a
1995,1995,YT,Yukon,Yukon,Human activity,Activités humaines,71,a,71,a
1995,1995,YT,Yukon,Yukon,Lightning,Foudre,76,a,76,a
1995,1995,YT,Yukon,Yukon,Unspecified,Indéterminée,1,a,1,a
1996,1996,AB,Alberta,Alberta,Human activity,Activités humaines,143,a,143,a
1996,1996,AB,Alberta,Alberta,Lightning,Foudre,239,a,239,a
1996,1996,AB,Alberta,Alberta,Unspecified,Indéterminée,16,a,16,a
1996,1996,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,633,a,633,a
1996,1996,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,727,a,727,a
1996,1996,MB,Manitoba,Manitoba,Human activity,Activités humaines,187,a,187,a
1996,1996,MB,Manitoba,Manitoba,Lightning,Foudre,237,a,237,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,239,a,239,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,84,a,84,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,44,a,44,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,82,a,82,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,29,a,29,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,238,a,238,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,4,a,4,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,28,a,28,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,20,a,20,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,330,a,330,a
1996,1996,ON,Ontario,Ontario,Human activity,Activités humaines,576,a,576,a
1996,1996,ON,Ontario,Ontario,Lightning,Foudre,669,a,669,a
1996,1996,ON,Ontario,Ontario,Unspecified,Indéterminée,30,a,30,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,0,a,0,a
1996,1996,QC,Quebec,Québec,Human activity,Activités humaines,499,a,499,a
1996,1996,QC,Quebec,Québec,Lightning,Foudre,751,a,751,a
1996,1996,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,207,a,207,a
1996,1996,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,218,a,218,a
1996,1996,YT,Yukon,Yukon,Human activity,Activités humaines,66,a,66,a
1996,1996,YT,Yukon,Yukon,Lightning,Foudre,83,a,83,a
1997,1997,AB,Alberta,Alberta,Human activity,Activités humaines,204,a,204,a
1997,1997,AB,Alberta,Alberta,Lightning,Foudre,249,a,249,a
1997,1997,AB,Alberta,Alberta,Unspecified,Indéterminée,10,a,10,a
1997,1997,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,489,a,489,a
1997,1997,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,687,a,687,a
1997,1997,MB,Manitoba,Manitoba,Human activity,Activités humaines,189,a,189,a
1997,1997,MB,Manitoba,Manitoba,Lightning,Foudre,184,a,184,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,290,a,290,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,33,a,33,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,45,a,45,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,68,a,68,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,10,a,10,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,307,a,307,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,24,a,24,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,39,a,39,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,14,a,14,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,90,a,90,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,1,a,1,a
1997,1997,ON,Ontario,Ontario,Human activity,Activités humaines,925,a,925,a
1997,1997,ON,Ontario,Ontario,Lightning,Foudre,681,a,681,a
1997,1997,ON,Ontario,Ontario,Unspecified,Indéterminée,40,a,40,a
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,,a,,a
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,,a,,a
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,34,a,34,a
1997,1997,QC,Quebec,Québec,Human activity,Activités humaines,514,a,514,a
1997,1997,QC,Quebec,Québec,Lightning,Foudre,362,a,362,a
1997,1997,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,232,a,232,a
1997,1997,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,257,a,257,a
1997,1997,YT,Yukon,Yukon,Human activity,Activités humaines,69,a,69,a
1997,1997,YT,Yukon,Yukon,Lightning,Foudre,43,a,43,a
1998,1998,AB,Alberta,Alberta,Human activity,Activités humaines,449,a,449,a
1998,1998,AB,Alberta,Alberta,Lightning,Foudre,1231,a,1231,a
1998,1998,AB,Alberta,Alberta,Unspecified,Indéterminée,58,a,58,a
1998,1998,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,911,a,911,a
1998,1998,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1752,a,1752,a
1998,1998,MB,Manitoba,Manitoba,Human activity,Activités humaines,296,a,296,a
1998,1998,MB,Manitoba,Manitoba,Lightning,Foudre,220,a,220,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,224,a,224,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,18,a,18,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,46,a,46,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,159,a,159,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,21,a,21,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,293,a,293,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,5,a,5,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,48,a,48,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,24,a,24,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,373,a,373,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,2,a,2,a
1998,1998,ON,Ontario,Ontario,Human activity,Activités humaines,854,a,854,a
1998,1998,ON,Ontario,Ontario,Lightning,Foudre,1412,a,1412,a
1998,1998,ON,Ontario,Ontario,Unspecified,Indéterminée,25,a,25,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,20,a,20,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,7,a,7,a
1998,1998,QC,Quebec,Québec,Human activity,Activités humaines,645,a,645,a
1998,1998,QC,Quebec,Québec,Lightning,Foudre,209,a,209,a
1998,1998,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,438,a,438,a
1998,1998,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,830,a,830,a
1998,1998,YT,Yukon,Yukon,Human activity,Activités humaines,110,a,110,a
1998,1998,YT,Yukon,Yukon,Lightning,Foudre,87,a,87,a
1998,1998,YT,Yukon,Yukon,Unspecified,Indéterminée,1,a,1,a
1999,1999,AB,Alberta,Alberta,Human activity,Activités humaines,448,a,448,a
1999,1999,AB,Alberta,Alberta,Prescribed burn,Brûlage dirigé,1,a,1,a
1999,1999,AB,Alberta,Alberta,Lightning,Foudre,901,a,901,a
1999,1999,AB,Alberta,Alberta,Unspecified,Indéterminée,21,a,21,a
1999,1999,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,597,a,597,a
1999,1999,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,601,a,601,a
1999,1999,MB,Manitoba,Manitoba,Human activity,Activités humaines,329,a,329,a
1999,1999,MB,Manitoba,Manitoba,Lightning,Foudre,284,a,284,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,378,a,378,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,161,a,161,a
1999,1999,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,68,a,68,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,165,a,165,a
1999,1999,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,23,a,23,a
1999,1999,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,398,a,398,a
1999,1999,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,27,a,27,a
1999,1999,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,39,a,39,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,32,a,32,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,2,a,2,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,135,a,135,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,3,a,3,a
1999,1999,ON,Ontario,Ontario,Human activity,Activités humaines,633,a,633,a
1999,1999,ON,Ontario,Ontario,Lightning,Foudre,376,a,376,a
1999,1999,ON,Ontario,Ontario,Unspecified,Indéterminée,16,a,16,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,26,a,26,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,1,a,1,a
1999,1999,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,7,a,7,a
1999,1999,QC,Quebec,Québec,Human activity,Activités humaines,778,a,778,a
1999,1999,QC,Quebec,Québec,Lightning,Foudre,259,a,259,a
1999,1999,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,245,a,245,a
1999,1999,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,495,a,495,a
1999,1999,YT,Yukon,Yukon,Human activity,Activités humaines,40,a,40,a
1999,1999,YT,Yukon,Yukon,Lightning,Foudre,119,a,119,a
