Year,Année,ISO,Jurisdiction,Juridiction,Cause,Origine,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1993,1993,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,3400.19999999997,a,3400.19999999997,a
1993,1993,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,1783.19999999998,a,1783.19999999998,a
1993,1993,MB,Manitoba,Manitoba,Human activity,Activités humaines,5117.4,a,5117.4,a
1993,1993,MB,Manitoba,Manitoba,Lightning,Foudre,62156.9999999999,a,62156.9999999999,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,417.000000000001,a,417.000000000001,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,323.2,a,323.2,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,38.1,a,38.1,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,55.4,a,55.4,a
1993,1993,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,28425,a,28425,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,362.78,a,362.78,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,2.8,a,2.8,a
1993,1993,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,2.33,a,2.33,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,84.47,a,84.47,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,7400,a,7400,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,856783.73,a,856783.73,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,17.63,a,17.63,a
1993,1993,ON,Ontario,Ontario,Human activity,Activités humaines,9016.00000132801,a,9016.00000132801,a
1993,1993,ON,Ontario,Ontario,Lightning,Foudre,95608.600000483,a,95608.600000483,a
1993,1993,ON,Ontario,Ontario,Unspecified,Indéterminée,40.200000013,a,40.200000013,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,78,a,78,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1993,1993,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,9,a,9,a
1993,1993,QC,Quebec,Québec,Human activity,Activités humaines,1062.2,a,1062.2,a
1993,1993,QC,Quebec,Québec,Lightning,Foudre,127171.8,a,127171.8,a
1993,1993,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,132315.19,a,132315.19,a
1993,1993,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,475884.65,a,475884.65,a
1993,1993,YT,Yukon,Yukon,Human activity,Activités humaines,56.58,a,56.58,a
1993,1993,YT,Yukon,Yukon,Lightning,Foudre,115047.73,a,115047.73,a
1994,1994,AB,Alberta,Alberta,Human activity,Activités humaines,2484.8,a,2484.8,a
1994,1994,AB,Alberta,Alberta,Lightning,Foudre,94198.5799999997,a,94198.5799999997,a
1994,1994,AB,Alberta,Alberta,Unspecified,Indéterminée,43.35,a,43.35,a
1994,1994,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,12017.1000000001,a,12017.1000000001,a
1994,1994,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,17738.2000000004,a,17738.2000000004,a
1994,1994,MB,Manitoba,Manitoba,Human activity,Activités humaines,471729.6,a,471729.6,a
1994,1994,MB,Manitoba,Manitoba,Lightning,Foudre,957056.099999997,a,957056.099999997,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,752.000000000003,a,752.000000000003,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,2.9,a,2.9,a
1994,1994,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,98.4,a,98.4,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,1309.7,a,1309.7,a
1994,1994,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,108964.5,a,108964.5,a
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,237.23,a,237.23,a
1994,1994,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,5.21,a,5.21,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,10126.82,a,10126.82,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,17882,a,17882,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,2999302.32,a,2999302.32,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,3.41,a,3.41,a
1994,1994,ON,Ontario,Ontario,Human activity,Activités humaines,7455.000002144,a,7455.000002144,a
1994,1994,ON,Ontario,Ontario,Lightning,Foudre,76020.300000251,a,76020.300000251,a
1994,1994,ON,Ontario,Ontario,Unspecified,Indéterminée,129.100000063,a,129.100000063,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,16,a,16,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1994,1994,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,6,a,6,a
1994,1994,QC,Quebec,Québec,Human activity,Activités humaines,792.900000000001,a,792.900000000001,a
1994,1994,QC,Quebec,Québec,Lightning,Foudre,115247.4,a,115247.4,a
1994,1994,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,3770.36000000001,a,3770.36000000001,a
1994,1994,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,842249.09,a,842249.09,a
1994,1994,YT,Yukon,Yukon,Human activity,Activités humaines,29.37,a,29.37,a
1994,1994,YT,Yukon,Yukon,Lightning,Foudre,421681.02,a,421681.02,a
1995,1995,AB,Alberta,Alberta,Human activity,Activités humaines,7887.02000000003,a,7887.02000000003,a
1995,1995,AB,Alberta,Alberta,Lightning,Foudre,331045.59,a,331045.59,a
1995,1995,AB,Alberta,Alberta,Unspecified,Indéterminée,3046.75,a,3046.75,a
1995,1995,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,19714.3999999997,a,19714.3999999997,a
1995,1995,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,28365.5999999998,a,28365.5999999998,a
1995,1995,MB,Manitoba,Manitoba,Human activity,Activités humaines,7366.50000000001,a,7366.50000000001,a
1995,1995,MB,Manitoba,Manitoba,Lightning,Foudre,881870.599999998,a,881870.599999998,a
1995,1995,MB,Manitoba,Manitoba,Unspecified,Indéterminée,0.1,a,0.1,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,408.500000000001,a,408.500000000001,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,45.9,a,45.9,a
1995,1995,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,115.1,a,115.1,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,301.1,a,301.1,a
1995,1995,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,400,a,400,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,369.95,a,369.95,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,0.33,a,0.33,a
1995,1995,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,34.23,a,34.23,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,111783.76,a,111783.76,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Prescribed burn,Brûlage dirigé,15996.9,a,15996.9,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,2715574.67,a,2715574.67,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,11.11,a,11.11,a
1995,1995,ON,Ontario,Ontario,Human activity,Activités humaines,41933.500004117,a,41933.500004117,a
1995,1995,ON,Ontario,Ontario,Lightning,Foudre,570412.500001699,a,570412.500001699,a
1995,1995,ON,Ontario,Ontario,Unspecified,Indéterminée,216.900000194,a,216.900000194,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,16,a,16,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1995,1995,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,20,a,20,a
1995,1995,QC,Quebec,Québec,Human activity,Activités humaines,123078.5,a,123078.5,a
1995,1995,QC,Quebec,Québec,Lightning,Foudre,604648.199999999,a,604648.199999999,a
1995,1995,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,63833.7100000001,a,63833.7100000001,a
1995,1995,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,1584600.18,a,1584600.18,a
1995,1995,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,375,a,375,a
1995,1995,YT,Yukon,Yukon,Human activity,Activités humaines,389.76,a,389.76,a
1995,1995,YT,Yukon,Yukon,Lightning,Foudre,260989.98,a,260989.98,a
1995,1995,YT,Yukon,Yukon,Unspecified,Indéterminée,502.5,a,502.5,a
1996,1996,AB,Alberta,Alberta,Human activity,Activités humaines,655.24,a,655.24,a
1996,1996,AB,Alberta,Alberta,Lightning,Foudre,14917.46,a,14917.46,a
1996,1996,AB,Alberta,Alberta,Unspecified,Indéterminée,24.39,a,24.39,a
1996,1996,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,6579.80000000006,a,6579.80000000006,a
1996,1996,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,14089.3000000001,a,14089.3000000001,a
1996,1996,MB,Manitoba,Manitoba,Human activity,Activités humaines,2882.7,a,2882.7,a
1996,1996,MB,Manitoba,Manitoba,Lightning,Foudre,122443.7,a,122443.7,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,1027.5,a,1027.5,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,908.1,a,908.1,a
1996,1996,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,81.2,a,81.2,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,3161.1,a,3161.1,a
1996,1996,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,78149.3,a,78149.3,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,601.63,a,601.63,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,2.27,a,2.27,a
1996,1996,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,35.32,a,35.32,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,84.66,a,84.66,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,371460.06,a,371460.06,a
1996,1996,ON,Ontario,Ontario,Human activity,Activités humaines,1849.800001398,a,1849.800001398,a
1996,1996,ON,Ontario,Ontario,Lightning,Foudre,443461.200000965,a,443461.200000965,a
1996,1996,ON,Ontario,Ontario,Unspecified,Indéterminée,3691.099999989,a,3691.099999989,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1996,1996,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,0,a,0,a
1996,1996,QC,Quebec,Québec,Human activity,Activités humaines,9575.90000000001,a,9575.90000000001,a
1996,1996,QC,Quebec,Québec,Lightning,Foudre,682013.699999999,a,682013.699999999,a
1996,1996,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,732.309999999999,a,732.309999999999,a
1996,1996,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,12254.68,a,12254.68,a
1996,1996,YT,Yukon,Yukon,Human activity,Activités humaines,15040.38,a,15040.38,a
1996,1996,YT,Yukon,Yukon,Lightning,Foudre,76026.7499999999,a,76026.7499999999,a
1997,1997,AB,Alberta,Alberta,Human activity,Activités humaines,4383.07,a,4383.07,a
1997,1997,AB,Alberta,Alberta,Lightning,Foudre,521.27,a,521.27,a
1997,1997,AB,Alberta,Alberta,Unspecified,Indéterminée,19.61,a,19.61,a
1997,1997,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,2635.39999999999,a,2635.39999999999,a
1997,1997,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,332.399999999999,a,332.399999999999,a
1997,1997,MB,Manitoba,Manitoba,Human activity,Activités humaines,3648.7,a,3648.7,a
1997,1997,MB,Manitoba,Manitoba,Lightning,Foudre,38150.4,a,38150.4,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,219.8,a,219.8,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,17.1,a,17.1,a
1997,1997,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,27,a,27,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,8261.5,a,8261.5,a
1997,1997,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,283.2,a,283.2,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,501.67,a,501.67,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,24.34,a,24.34,a
1997,1997,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,39.15,a,39.15,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,9.97,a,9.97,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,126521.29,a,126521.29,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,0.01,a,0.01,a
1997,1997,ON,Ontario,Ontario,Human activity,Activités humaines,2113.30000190401,a,2113.30000190401,a
1997,1997,ON,Ontario,Ontario,Lightning,Foudre,36224.300002795,a,36224.300002795,a
1997,1997,ON,Ontario,Ontario,Unspecified,Indéterminée,281.900000149,a,281.900000149,a
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,0,a,0,a
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1997,1997,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,107,a,107,a
1997,1997,QC,Quebec,Québec,Human activity,Activités humaines,4713.7,a,4713.7,a
1997,1997,QC,Quebec,Québec,Lightning,Foudre,388365.5,a,388365.5,a
1997,1997,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,1669.69,a,1669.69,a
1997,1997,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,2207.22,a,2207.22,a
1997,1997,YT,Yukon,Yukon,Human activity,Activités humaines,78.8100000000002,a,78.8100000000002,a
1997,1997,YT,Yukon,Yukon,Lightning,Foudre,11391.24,a,11391.24,a
1998,1998,AB,Alberta,Alberta,Human activity,Activités humaines,74977.0800000001,a,74977.0800000001,a
1998,1998,AB,Alberta,Alberta,Lightning,Foudre,673574.169999996,a,673574.169999996,a
1998,1998,AB,Alberta,Alberta,Unspecified,Indéterminée,225.02,a,225.02,a
1998,1998,BC,British Columbia,Colombie-Britannique,Human activity,Activités humaines,6752.15600000002,a,6752.15600000002,a
1998,1998,BC,British Columbia,Colombie-Britannique,Lightning,Foudre,70015.1879999995,a,70015.1879999995,a
1998,1998,MB,Manitoba,Manitoba,Human activity,Activités humaines,4837.80000000001,a,4837.80000000001,a
1998,1998,MB,Manitoba,Manitoba,Lightning,Foudre,445734.299999999,a,445734.299999999,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Human activity,Activités humaines,274.9,a,274.9,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Lightning,Foudre,4.1,a,4.1,a
1998,1998,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,133.4,a,133.4,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Human activity,Activités humaines,1085.5,a,1085.5,a
1998,1998,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Lightning,Foudre,39075.7,a,39075.7,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Human activity,Activités humaines,306.669999999999,a,306.669999999999,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Lightning,Foudre,12.13,a,12.13,a
1998,1998,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,77.93,a,77.93,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,Activités humaines,79.72,a,79.72,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,1458875.43,a,1458875.43,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,5.01,a,5.01,a
1998,1998,ON,Ontario,Ontario,Human activity,Activités humaines,4137.500001693,a,4137.500001693,a
1998,1998,ON,Ontario,Ontario,Lightning,Foudre,127542.100003112,a,127542.100003112,a
1998,1998,ON,Ontario,Ontario,Unspecified,Indéterminée,26492.800000021,a,26492.800000021,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Human activity,Activités humaines,76,a,76,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Lightning,Foudre,0,a,0,a
1998,1998,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,1,a,1,a
1998,1998,QC,Quebec,Québec,Human activity,Activités humaines,13329.3,a,13329.3,a
